year,tree_no,ring_width_mm,stand
1953,1,3.3,JS
1953,2,3.56,JS
1953,3,3.62,JS
1953,5,1.47,JS
1953,6,1.17,JS
1953,7,2.28,JS
1953,8,0.8,JS
1953,9,3.3,JS
1953,10,4.25,JS
1954,1,4.16,JS
1954,2,2.82,JS
1954,3,3.17,JS
1954,4,3.9,JS
1954,5,1.13,JS
1954,6,1.54,JS
1954,7,2.23,JS
1954,8,0.45,JS
1954,9,3.13,JS
1954,10,4.13,JS
1955,1,4.37,JS
1955,2,3.01,JS
1955,3,3.29,JS
1955,4,3.28,JS
1955,5,2.28,JS
1955,6,2.11,JS
1955,7,2.46,JS
1955,8,0.62,JS
1955,9,1.37,JS
1955,10,3.89,JS
1956,1,3.93,JS
1956,2,4.15,JS
1956,3,3.68,JS
1956,4,3.27,JS
1956,5,2.24,JS
1956,6,2.1,JS
1956,7,2.86,JS
1956,8,0.55,JS
1956,9,4.51,JS
1956,10,2.3,JS
1957,1,3.95,JS
1957,2,4.64,JS
1957,3,3,JS
1957,4,3.95,JS
1957,5,0.9,JS
1957,6,1.62,JS
1957,7,2.69,JS
1957,8,0.81,JS
1957,9,3.54,JS
1957,10,2.08,JS
1958,1,2.87,JS
1958,2,3.28,JS
1958,3,2.9,JS
1958,4,3.32,JS
1958,5,0.95,JS
1958,6,1.96,JS
1958,7,2.79,JS
1958,8,1.02,JS
1958,9,2.6,JS
1958,10,2.49,JS
1959,1,2.46,JS
1959,2,3.2,JS
1959,3,2.97,JS
1959,4,2.46,JS
1959,5,2.59,JS
1959,6,2.44,JS
1959,7,2.11,JS
1959,8,0.93,JS
1959,9,2.83,JS
1959,10,1.82,JS
1960,1,2.77,JS
1960,2,4.43,JS
1960,3,2.95,JS
1960,4,4.82,JS
1960,5,3.39,JS
1960,6,2.24,JS
1960,7,2.18,JS
1960,8,1.05,JS
1960,9,2.98,JS
1960,10,1.86,JS
1961,1,2.84,JS
1961,2,2.64,JS
1961,3,1.9,JS
1961,4,2.43,JS
1961,5,2.79,JS
1961,6,1.43,JS
1961,7,2.44,JS
1961,8,0.55,JS
1961,9,2.7,JS
1961,10,1.46,JS
1962,1,2.78,JS
1962,2,2.54,JS
1962,3,2.09,JS
1962,4,2.01,JS
1962,5,2.21,JS
1962,6,1.7,JS
1962,7,1.44,JS
1962,8,1.03,JS
1962,9,1.6,JS
1962,10,2.47,JS
1963,1,2.54,JS
1963,2,2.78,JS
1963,3,2.38,JS
1963,4,2.77,JS
1963,5,3.24,JS
1963,6,2.64,JS
1963,7,1.95,JS
1963,8,1.45,JS
1963,9,2.6,JS
1963,10,1.51,JS
1964,1,2.5,JS
1964,2,1.58,JS
1964,3,1.64,JS
1964,4,2.26,JS
1964,5,2.18,JS
1964,6,2.11,JS
1964,7,1.93,JS
1964,8,0.77,JS
1964,9,2.13,JS
1964,10,1.33,JS
1965,1,2.4,JS
1965,2,1.27,JS
1965,3,1.68,JS
1965,4,1.59,JS
1965,5,1,JS
1965,6,1.45,JS
1965,7,2.15,JS
1965,8,0.88,JS
1965,9,1.81,JS
1965,10,1.1,JS
1966,1,1.38,JS
1966,2,0.7,JS
1966,3,0.91,JS
1966,4,1,JS
1966,5,0.73,JS
1966,6,0.75,JS
1966,7,1.57,JS
1966,8,0.97,JS
1966,9,1.08,JS
1966,10,1.06,JS
1967,1,0.69,JS
1967,2,0.47,JS
1967,3,0.7,JS
1967,4,0.91,JS
1967,5,0.86,JS
1967,6,0.62,JS
1967,7,1.29,JS
1967,8,0.9,JS
1967,9,0.59,JS
1967,10,0.73,JS
1968,1,0.84,JS
1968,2,0.87,JS
1968,3,0.91,JS
1968,4,1.11,JS
1968,5,0.87,JS
1968,6,0.72,JS
1968,7,0.64,JS
1968,8,0.37,JS
1968,9,0.84,JS
1968,10,0.76,JS
1969,1,0.88,JS
1969,2,0.85,JS
1969,3,1.31,JS
1969,4,0.85,JS
1969,5,0.62,JS
1969,6,0.58,JS
1969,7,0.96,JS
1969,8,0.41,JS
1969,9,0.7,JS
1969,10,0.73,JS
1970,1,0.69,JS
1970,2,0.95,JS
1970,3,0.87,JS
1970,4,1.3,JS
1970,5,0.84,JS
1970,6,0.61,JS
