year,tree_no,ring_width_mm,stand
1953,1,1.65,OI
1953,2,2.87,OI
1953,5,2.44,OI
1953,6,2.19,OI
1953,7,1.72,OI
1953,8,0.96,OI
1953,10,1.69,OI
1954,1,2,OI
1954,2,3.39,OI
1954,4,1.46,OI
1954,5,2.2,OI
1954,6,1.64,OI
1954,7,1.41,OI
1954,8,1.17,OI
1954,10,3.06,OI
1955,1,2.99,OI
1955,2,4.66,OI
1955,3,1.56,OI
1955,4,2.6,OI
1955,5,2.45,OI
1955,6,1.61,OI
1955,7,2.16,OI
1955,8,1.12,OI
1955,10,3.04,OI
1956,1,3.15,OI
1956,2,4.67,OI
1956,3,2.47,OI
1956,4,1.99,OI
1956,5,2.75,OI
1956,6,1.82,OI
1956,7,1.97,OI
1956,8,1.14,OI
1956,10,4.49,OI
1957,1,2.88,OI
1957,2,2.88,OI
1957,3,2.54,OI
1957,4,3.18,OI
1957,5,3.59,OI
1957,6,2.23,OI
1957,7,2.07,OI
1957,8,1.6,OI
1957,9,0.85,OI
1957,10,3.77,OI
1958,1,3.11,OI
1958,2,2.83,OI
1958,3,2.06,OI
1958,4,2.65,OI
1958,5,4.23,OI
1958,6,2.22,OI
1958,7,2.35,OI
1958,8,1.47,OI
1958,9,1.62,OI
1958,10,4.53,OI
1959,1,3.25,OI
1959,2,3.47,OI
1959,3,2.81,OI
1959,4,2.4,OI
1959,5,3.8,OI
1959,6,1.98,OI
1959,7,1.84,OI
1959,8,1.52,OI
1959,9,1.59,OI
1959,10,4.04,OI
1960,1,3.13,OI
1960,2,4.27,OI
1960,3,2.78,OI
1960,4,2.6,OI
1960,5,3.43,OI
1960,6,2.18,OI
1960,7,2.33,OI
1960,8,1.69,OI
1960,9,2.44,OI
1960,10,4.82,OI
1961,1,2.94,OI
1961,2,2.37,OI
1961,3,1.74,OI
1961,4,2.37,OI
1961,5,2.87,OI
1961,6,2.59,OI
1961,7,2.8,OI
1961,8,1.35,OI
1961,9,3.19,OI
1961,10,3.98,OI
1962,1,2.33,OI
1962,2,2.01,OI
1962,3,1.95,OI
1962,4,1.76,OI
1962,5,3.57,OI
1962,6,2.34,OI
1962,7,2.2,OI
1962,8,0.9,OI
1962,9,1.59,OI
1962,10,3.75,OI
1963,1,2.34,OI
1963,2,2.26,OI
1963,3,1.55,OI
1963,4,2.64,OI
1963,5,2.39,OI
1963,6,1.67,OI
1963,7,2.42,OI
1963,8,1.18,OI
1963,9,2.04,OI
1963,10,3.59,OI
1964,1,2.55,OI
1964,2,2.71,OI
1964,3,2.14,OI
1964,4,2.62,OI
1964,5,1.84,OI
1964,6,1.81,OI
1964,7,2.71,OI
1964,8,1.5,OI
1964,9,2.17,OI
1964,10,3.64,OI
1965,1,2.17,OI
1965,2,1.94,OI
1965,3,2.69,OI
1965,4,2.01,OI
1965,5,2.07,OI
1965,6,1.78,OI
1965,7,2.67,OI
1965,8,1.47,OI
1965,9,1.45,OI
1965,10,3.07,OI
1966,1,1.87,OI
1966,2,2.32,OI
1966,3,2.34,OI
1966,4,1.48,OI
1966,5,2.08,OI
1966,6,1.51,OI
1966,7,2.03,OI
1966,8,1.35,OI
1966,9,1.82,OI
1966,10,2.28,OI
1967,1,1.52,OI
1967,2,1.65,OI
1967,3,2.17,OI
1967,4,1.32,OI
1967,5,2.15,OI
1967,6,1.28,OI
1967,7,2.43,OI
1967,8,1.3,OI
1967,9,2.49,OI
1967,10,1.98,OI
1968,1,1.7,OI
1968,2,1.16,OI
1968,3,1.65,OI
1968,4,0.94,OI
1968,5,2.01,OI
1968,6,1.11,OI
1968,7,1.52,OI
1968,8,1.26,OI
1968,9,2.38,OI
1968,10,1.86,OI
1969,1,1.26,OI
1969,2,1.12,OI
1969,3,1.65,OI
1969,4,0.71,OI
1969,5,1.54,OI
1969,6,1.02,OI
1969,7,0.85,OI
1969,8,1.25,OI
1969,9,1.96,OI
1969,10,0.94,OI
1970,1,1.09,OI
1970,2,1.05,OI
1970,3,1.91,OI
1970,4,0.86,OI
1970,5,1.39,OI
1970,6,0.41,OI
1970,7,0.45,OI
1970,8,1.17,OI
1970,9,1.77,OI
1970,10,1.11,OI
1971,1,1.11,OI
1971,2,1.3,OI
1971,3,0.65,OI
1971,4,1.18,OI
1971,5,1.13,OI
1971,6,0.59,OI
1971,7,0.67,OI
1971,8,1.26,OI
1971,9,1.6,OI
1971,10,1.32,OI
1972,1,1.67,OI
1972,2,0.62,OI
1972,3,1.06,OI
1972,4,0.61,OI
1972,5,1.22,OI
1972,6,0.76,OI
1972,7,1.06,OI
1972,8,0.99,OI
1972,9,1.41,OI
1972,10,1.76,OI
1973,1,1.17,OI
1973,2,0.74,OI
1973,3,1.59,OI
1973,4,0.69,OI
1973,5,1.18,OI
1973,6,0.52,OI
1973,7,1.01,OI
1973,8,0.88,OI
1973,9,1.68,OI
1973,10,1,OI
1974,1,1.01,OI
1974,2,0.56,OI
1974,3,2.02,OI
1974,4,0.64,OI
1974,5,0.85,OI
1974,6,0.42,OI
1974,7,1,OI
1974,8,1.03,OI
1974,9,1.27,OI
1974,10,1.04,OI
1975,1,1.1,OI
1975,2,0.75,OI
1975,3,1.83,OI
