year,tree_no,ring_width_mm,stand
1953,1,0.73,WO
1953,2,0.28,WO
1953,3,0.61,WO
1953,4,0.26,WO
1953,5,0.53,WO
1953,6,0.46,WO
1953,7,1.05,WO
1953,8,0.29,WO
1953,9,0.52,WO
1953,10,1.18,WO
1954,1,0.85,WO
1954,2,0.81,WO
1954,3,0.5,WO
1954,4,0.64,WO
1954,5,0.3,WO
1954,6,0.5,WO
1954,7,1.75,WO
1954,8,0.47,WO
1954,9,1.25,WO
1954,10,1.21,WO
1955,1,1.13,WO
1955,2,1.05,WO
1955,3,0.46,WO
1955,4,0.49,WO
1955,5,0.24,WO
1955,6,0.67,WO
1955,7,1.54,WO
1955,8,0.3,WO
1955,9,1.57,WO
1955,10,0.81,WO
1956,1,1.11,WO
1956,2,0.92,WO
1956,3,0.66,WO
1956,4,0.45,WO
1956,5,0.24,WO
1956,6,0.74,WO
1956,7,1.72,WO
1956,8,0.37,WO
1956,9,1.69,WO
1956,10,0.9,WO
1957,1,1.11,WO
1957,2,1.14,WO
1957,3,0.69,WO
1957,4,0.59,WO
1957,5,0.9,WO
1957,6,0.81,WO
1957,7,1.8,WO
1957,8,0.34,WO
1957,9,1.35,WO
1957,10,0.94,WO
1958,1,0.79,WO
1958,2,1.03,WO
1958,3,0.68,WO
1958,4,0.64,WO
1958,5,0.98,WO
1958,6,0.64,WO
1958,7,1.96,WO
1958,8,0.5,WO
1958,9,1.22,WO
1958,10,0.81,WO
1959,1,1.07,WO
1959,2,1.05,WO
1959,3,0.57,WO
1959,4,0.62,WO
1959,5,0.86,WO
1959,6,0.61,WO
1959,7,2.01,WO
1959,8,0.46,WO
1959,9,1.01,WO
1959,10,0.7,WO
1960,1,1.25,WO
1960,2,1.29,WO
1960,3,0.72,WO
1960,4,0.59,WO
1960,5,0.68,WO
1960,6,1.05,WO
1960,7,1.94,WO
1960,8,0.4,WO
1960,9,1.29,WO
1960,10,0.11,WO
1961,1,1.05,WO
1961,2,1.02,WO
1961,3,0.53,WO
1961,4,0.6,WO
1961,5,0.65,WO
1961,6,0.52,WO
1961,7,1.66,WO
1961,8,0.67,WO
1961,9,0.95,WO
1961,10,0.46,WO
1962,1,0.85,WO
1962,2,0.78,WO
1962,3,0.6,WO
1962,4,0.58,WO
1962,5,0.58,WO
1962,6,0.39,WO
1962,7,1.5,WO
1962,8,0.33,WO
1962,9,0.76,WO
1962,10,0.7,WO
1963,1,1.02,WO
1963,2,1.24,WO
1963,3,0.55,WO
1963,4,0.26,WO
1963,5,0.74,WO
1963,6,0.52,WO
1963,7,2.43,WO
1963,8,0.23,WO
1963,9,0.98,WO
1963,10,0.9,WO
1964,1,1.24,WO
1964,2,0.98,WO
1964,3,0.37,WO
1964,4,0.43,WO
1964,5,0.8,WO
1964,6,0.55,WO
1964,7,2.03,WO
1964,8,0.25,WO
1964,9,0.93,WO
1964,10,0.84,WO
1965,1,1.08,WO
1965,2,1.09,WO
1965,3,0.39,WO
1965,4,0.44,WO
1965,5,0.82,WO
1965,6,0.65,WO
1965,7,1.93,WO
1965,8,0.26,WO
1965,9,1,WO
1965,10,0.74,WO
1966,1,0.67,WO
1966,2,1.01,WO
1966,3,0.29,WO
1966,4,0.83,WO
1966,5,0.64,WO
1966,6,0.49,WO
1966,7,1.56,WO
1966,8,0.25,WO
1966,9,0.61,WO
1966,10,0.57,WO
1967,1,0.55,WO
1967,2,1.12,WO
1967,3,0.46,WO
1967,4,0.52,WO
1967,5,0.51,WO
1967,6,0.37,WO
1967,7,1.1,WO
1967,8,0.2,WO
1967,9,0.5,WO
1967,10,0.62,WO
1968,1,0.78,WO
1968,2,1.19,WO
1968,3,0.56,WO
1968,4,0.3,WO
1968,5,0.6,WO
1968,6,0.35,WO
1968,7,1.23,WO
1968,8,0.23,WO
1968,9,0.36,WO
1968,10,0.39,WO
1969,1,0.54,WO
1969,2,1.22,WO
1969,3,0.38,WO
1969,4,0.38,WO
1969,5,0.74,WO
1969,6,0.38,WO
1969,7,1.25,WO
1969,8,0.19,WO
1969,9,0.41,WO
1969,10,0.68,WO
1970,1,0.58,WO
1970,2,1.02,WO
1970,3,0.4,WO
1970,4,0.44,WO
1970,5,0.47,WO
1970,6,0.29,WO
1970,7,1.2,WO
1970,8,0.18,WO
1970,9,0.31,WO
1970,10,0.51,WO
1971,1,0.48,WO
1971,2,1.02,WO
1971,3,0.52,WO
1971,4,0.32,WO
1971,5,0.62,WO
1971,6,0.24,WO
1971,7,1.25,WO
1971,8,0.11,WO
1971,9,0.31,WO
1971,10,0.43,WO
1972,1,0.47,WO
1972,2,0.5,WO
1972,3,0.46,WO
1972,4,0.36,WO
1972,5,0.77,WO
1972,6,0.28,WO
1972,7,1.08,WO
1972,8,0.17,WO
1972,9,0.33,WO
1972,10,0.51,WO
1973,1,0.5,WO
1973,2,0.5,WO
1973,3,0.61,WO
1973,4,0.45,WO
1973,5,0.31,WO
1973,6,0.25,WO
1973,7,0.77,WO
1973,8,0.14,WO
1973,9,0.18,WO
1973,10,0.67,WO
1974,1,0.5,WO
1974,2,0.72,WO
1974,3,0.53,WO
1974,4,0.27,WO
1974,5,0.27,WO
1974,6,0.15,WO
1974,7,0.66,WO
1974,8,0.1,WO
1974,9,0.33,WO
1974,10,1.17,WO
1975,1,0.72,WO
1975,2,1.02,WO
1975,3,0.31,WO
1975,4,0.15,WO
1975,5,0.4,WO
1975,6,0.28,WO
1975,7,1.52,WO
1975,8,0.17,WO
1975,9,0.4,WO
1975,10,0.99,WO
1976,1,0.84,WO
1976,2,1.16,WO
1976,3,0.41,WO
1976,4,0.22,WO
1976,5,1.01,WO
1976,6,0.24,WO
1976,7,1.5,WO
1976,8,0.32,WO
1976,9,0.7,WO
1976,10,1.13,WO
1977,1,1.03,WO
1977,2,1.13,WO
1977,3,0.52,WO
1977,4,0.57,WO
1977,5,1.16,WO
1977,6,0.25,WO
1977,7,1.14,WO
1977,8,0.23,WO
1977,9,0.53,WO
1977,10,1,WO
1978,1,0.82,WO
1978,2,1.03,WO
1978,3,0.48,WO
1978,4,0.38,WO
1978,5,1.01,WO
1978,6,0.18,WO
1978,7,1,WO
1978,8,0.22,WO
1978,9,0.2,WO
1978,10,1.01,WO
1979,1,0.64,WO
1979,2,1.07,WO
1979,3,0.47,WO
1979,4,0.35,WO
1979,5,0.95,WO
1979,6,0.15,WO
1979,7,1.32,WO
1979,8,0.17,WO
1979,9,0.23,WO
1979,10,0.84,WO
1980,1,0.73,WO
1980,2,1.13,WO
1980,3,0.45,WO
1980,4,0.42,WO
1980,5,0.89,WO
1980,6,0.33,WO
1980,7,1.22,WO
1980,8,0.28,WO
1980,9,0.26,WO
1980,10,0.78,WO
1981,1,0.78,WO
1981,2,0.87,WO
1981,3,0.34,WO
1981,4,0.58,WO
1981,5,0.65,WO
1981,6,0.42,WO
1981,7,1.29,WO
1981,8,0.31,WO
1981,9,0.28,WO
1981,10,0.73,WO
1982,1,0.69,WO
1982,2,0.75,WO
1982,3,0.42,WO
1982,4,0.28,WO
1982,5,0.47,WO
1982,6,0.19,WO
1982,7,0.83,WO
1982,8,0.16,WO
1982,9,0.3,WO
1982,10,0.37,WO
