year,tree_no,ring_width_mm,stand
1923,1,3.55,3
1923,2,1.74,3
1923,3,2.38,3
1923,4,1.91,3
1923,5,2.38,3
1923,6,1.91,3
1923,7,1.44,3
1923,8,2.52,3
1923,9,1.61,3
1923,10,2.34,3
1924,1,2.14,3
1924,2,1.89,3
1924,3,1.63,3
1924,4,1.63,3
1924,5,2.56,3
1924,6,1.54,3
1924,7,1.26,3
1924,8,2.4,3
1924,9,1.38,3
1924,10,2.92,3
1925,1,2.15,3
1925,2,2.04,3
1925,3,1.95,3
1925,4,1.62,3
1925,5,2.24,3
1925,6,1.59,3
1925,7,1.72,3
1925,8,2.54,3
1925,9,1.62,3
1925,10,1.77,3
1926,1,2.11,3
1926,2,1.86,3
1926,3,1.71,3
1926,4,1.71,3
1926,5,2.35,3
1926,6,1.06,3
1926,7,1.88,3
1926,8,2.67,3
1926,9,1.26,3
1926,10,2.29,3
1927,1,2.17,3
1927,2,1.99,3
1927,3,1.47,3
1927,4,2.18,3
1927,5,2.25,3
1927,6,1.25,3
1927,7,1.72,3
1927,8,3.19,3
1927,9,1.4,3
1927,10,2.38,3
1928,1,1.5,3
1928,2,1.79,3
1928,3,1.32,3
1928,4,1.21,3
1928,5,2.4,3
1928,6,0.98,3
1928,7,1.85,3
1928,8,2.37,3
1928,9,0.93,3
1928,10,2.49,3
1929,1,1.63,3
1929,2,1.78,3
1929,3,1.47,3
1929,4,1.7,3
1929,5,1.65,3
1929,6,1.7,3
1929,7,1.2,3
1929,8,2.62,3
1929,9,1,3
1929,10,1.95,3
1930,1,1.61,3
1930,2,1.47,3
1930,3,1.31,3
1930,4,1.77,3
1930,5,1.96,3
1930,6,1.53,3
1930,7,1.91,3
1930,8,2.61,3
1930,9,1.16,3
1930,10,1.78,3
1931,1,1.23,3
1931,2,2.33,3
1931,3,1.6,3
1931,4,0.9,3
1931,5,2.41,3
1931,6,1.56,3
1931,7,1.11,3
1931,8,2.32,3
1931,9,1.33,3
1931,10,1.78,3
1932,1,1.21,3
1932,2,1.65,3
1932,3,1.59,3
1932,4,1.19,3
1932,5,1.57,3
1932,6,1.78,3
1932,7,1.02,3
1932,8,2.53,3
1932,9,1.28,3
1932,10,1.81,3
1933,1,1.24,3
1933,2,1.66,3
1933,3,1.52,3
1933,4,1.45,3
1933,5,1.58,3
1933,6,1.25,3
1933,7,1.38,3
1933,8,2.52,3
1933,9,1.23,3
1933,10,1.53,3
1934,1,1.45,3
1934,2,2.21,3
1934,3,1.72,3
1934,4,1.5,3
1934,5,1.84,3
1934,6,1.52,3
1934,7,1.57,3
1934,8,3.07,3
1934,9,1.04,3
1934,10,1.61,3
1935,1,1.93,3
1935,2,1.82,3
1935,3,1.22,3
1935,4,1.66,3
1935,5,1.41,3
1935,6,2.35,3
1935,7,1.26,3
1935,8,2.98,3
1935,9,1.11,3
1935,10,1.76,3
1936,1,1.87,3
1936,2,2.11,3
1936,3,1.32,3
1936,4,1.66,3
1936,5,0.93,3
1936,6,1.74,3
1936,7,1.3,3
1936,8,3.19,3
1936,9,1.11,3
1936,10,1.52,3
1937,1,1.58,3
1937,2,2.07,3
1937,3,1.5,3
1937,4,1.42,3
1937,5,0.92,3
1937,6,1.37,3
1937,7,1.64,3
1937,8,2.7,3
1937,9,1.36,3
1937,10,1.96,3
1938,1,1.45,3
1938,2,1.63,3
1938,3,1.26,3
1938,4,1.2,3
1938,5,1.86,3
1938,6,1.27,3
1938,7,1.38,3
1938,8,2.25,3
1938,9,1.1,3
1938,10,1.96,3
1939,1,1.76,3
1939,2,1.21,3
1939,3,0.91,3
1939,4,1.2,3
1939,5,1.28,3
1939,6,1.41,3
1939,7,1.21,3
1939,8,2.08,3
1939,9,0.86,3
1939,10,1.78,3
1940,1,1.32,3
1940,2,1.39,3
1940,3,0.5,3
1940,4,0.83,3
1940,5,1.06,3
1940,6,1.16,3
1940,7,0.88,3
1940,8,1.82,3
1940,9,0.98,3
1940,10,1.24,3
1941,1,1.34,3
1941,2,0.58,3
1941,3,0.68,3
1941,4,0.85,3
1941,5,1.13,3
1941,6,0.93,3
1941,7,0.74,3
1941,8,2.1,3
1941,9,0.85,3
1941,10,1.24,3
1942,1,1.46,3
1942,2,0.9,3
1942,3,1.19,3
1942,4,1.33,3
1942,5,0.55,3
1942,6,1.11,3
1942,7,1.2,3
1942,8,2.47,3
1942,9,1.01,3
1942,10,0.74,3
1943,1,1.42,3
1943,2,1.67,3
1943,3,1.31,3
1943,4,1.13,3
1943,5,0.64,3
1943,6,1.25,3
1943,7,1.54,3
1943,8,2.13,3
1943,9,1.46,3
1943,10,1.06,3
1944,1,1.58,3
1944,2,1.42,3
1944,3,1.28,3
1944,4,1.6,3
1944,5,1.7,3
1944,6,1.95,3
1944,7,1.47,3
1944,8,2.54,3
1944,9,1.57,3
1944,10,1.35,3
1945,1,1.54,3
1945,2,1.88,3
