year,tree_no,ring_width_mm,stand
1953,1,0.5,LF
1953,2,0.61,LF
1953,3,0.82,LF
1953,4,0.57,LF
1953,5,0.67,LF
1953,6,0.49,LF
1953,7,0.62,LF
1953,8,0.77,LF
1953,9,0.68,LF
1953,10,0.91,LF
1954,1,0.76,LF
1954,2,0.81,LF
1954,3,0.71,LF
1954,4,0.67,LF
1954,5,0.75,LF
1954,6,0.41,LF
1954,7,0.55,LF
1954,8,0.76,LF
1954,9,0.83,LF
1954,10,0.58,LF
1955,1,1,LF
1955,2,1.04,LF
1955,3,0.35,LF
1955,4,0.85,LF
1955,5,0.61,LF
1955,6,0.37,LF
1955,7,0.65,LF
1955,8,0.81,LF
1955,9,1.48,LF
1955,10,0.81,LF
1956,1,1.26,LF
1956,2,1.01,LF
1956,3,0.39,LF
1956,4,0.96,LF
1956,5,0.83,LF
1956,6,0.51,LF
1956,7,1.19,LF
1956,8,0.53,LF
1956,9,2.21,LF
1956,10,0.96,LF
1957,1,1.11,LF
1957,2,0.86,LF
1957,3,0.34,LF
1957,4,1.43,LF
1957,5,1.26,LF
1957,6,0.53,LF
1957,7,1.16,LF
1957,8,0.55,LF
1957,9,1.61,LF
1957,10,0.98,LF
1958,1,1.08,LF
1958,2,0.67,LF
1958,3,0.53,LF
1958,4,0.8,LF
1958,5,1.15,LF
1958,6,0.87,LF
1958,7,0.92,LF
1958,8,0.54,LF
1958,9,1.19,LF
1958,10,0.75,LF
1959,1,1.01,LF
1959,2,0.7,LF
1959,3,0.37,LF
1959,4,0.7,LF
1959,5,1.06,LF
1959,6,0.76,LF
1959,7,0.92,LF
1959,8,0.48,LF
1959,9,1.34,LF
1959,10,0.68,LF
1960,1,0.91,LF
1960,2,0.62,LF
1960,3,0.51,LF
1960,4,0.97,LF
1960,5,1.1,LF
1960,6,0.89,LF
1960,7,0.89,LF
1960,8,0.76,LF
1960,9,1.41,LF
1960,10,0.69,LF
1961,1,0.87,LF
1961,2,0.51,LF
1961,3,0.52,LF
1961,4,0.77,LF
1961,5,1.1,LF
1961,6,0.57,LF
1961,7,0.69,LF
1961,8,0.6,LF
1961,9,1.45,LF
1961,10,0.64,LF
1962,1,1.28,LF
1962,2,0.97,LF
1962,3,0.44,LF
1962,4,0.51,LF
1962,5,0.84,LF
1962,6,0.32,LF
1962,7,0.58,LF
1962,8,0.64,LF
1962,9,1.33,LF
1962,10,0.52,LF
1963,1,1.14,LF
1963,2,0.93,LF
1963,3,0.35,LF
1963,4,0.67,LF
1963,5,0.65,LF
1963,6,0.52,LF
1963,7,0.83,LF
1963,8,0.89,LF
1963,9,1.72,LF
1963,10,0.6,LF
1964,1,0.97,LF
1964,2,0.87,LF
1964,3,0.27,LF
1964,4,0.86,LF
1964,5,0.94,LF
1964,6,0.63,LF
1964,7,0.73,LF
1964,8,0.81,LF
1964,9,1.59,LF
1964,10,0.67,LF
1965,1,0.64,LF
1965,2,0.7,LF
1965,3,0.3,LF
1965,4,0.78,LF
1965,5,1.35,LF
1965,6,0.65,LF
1965,7,0.56,LF
1965,8,0.87,LF
1965,9,1.49,LF
1965,10,0.73,LF
1966,1,0.47,LF
1966,2,0.8,LF
1966,3,0.55,LF
1966,4,0.39,LF
1966,5,1.15,LF
1966,6,0.65,LF
1966,7,0.49,LF
1966,8,0.95,LF
1966,9,1.16,LF
1966,10,0.43,LF
1967,1,0.55,LF
1967,2,0.8,LF
1967,3,0.51,LF
1967,4,0.17,LF
1967,5,0.96,LF
1967,6,0.35,LF
1967,7,0.47,LF
1967,8,0.69,LF
1967,9,0.8,LF
1967,10,0.4,LF
1968,1,0.71,LF
1968,2,1.14,LF
1968,3,0.44,LF
1968,4,0.29,LF
1968,5,0.61,LF
1968,6,0.34,LF
1968,7,0.5,LF
1968,8,0.57,LF
1968,9,0.81,LF
1968,10,0.29,LF
1969,1,0.74,LF
1969,2,0.77,LF
1969,3,0.19,LF
1969,4,0.33,LF
1969,5,0.7,LF
1969,6,0.45,LF
1969,7,0.37,LF
1969,8,0.47,LF
1969,9,1.13,LF
1969,10,0.41,LF
1970,1,0.75,LF
1970,2,0.89,LF
1970,3,0.4,LF
1970,4,0.56,LF
1970,5,0.79,LF
1970,6,0.55,LF
1970,7,0.48,LF
1970,8,0.53,LF
1970,9,0.8,LF
1970,10,0.35,LF
1971,1,0.43,LF
1971,2,0.59,LF
1971,3,0.38,LF
1971,4,0.47,LF
1971,5,0.75,LF
1971,6,0.74,LF
1971,7,0.59,LF
1971,8,0.41,LF
1971,9,0.75,LF
1971,10,0.59,LF
1972,1,0.21,LF
1972,2,0.61,LF
1972,3,0.38,LF
1972,4,0.39,LF
1972,5,0.95,LF
1972,6,0.43,LF
1972,7,0.5,LF
1972,8,0.45,LF
1972,9,0.75,LF
1972,10,0.28,LF
1973,1,0.34,LF
1973,2,0.44,LF
1973,3,0.22,LF
1973,4,0.34,LF
1973,5,0.58,LF
1973,6,0.28,LF
1973,7,0.37,LF
1973,8,0.43,LF
1973,9,0.99,LF
1973,10,0.28,LF
1974,1,0.69,LF
1974,2,0.39,LF
1974,3,0.36,LF
1974,4,0.54,LF
1974,5,0.48,LF
1974,6,0.28,LF
1974,7,0.46,LF
1974,8,0.66,LF
1974,9,1.37,LF
1974,10,0.44,LF
1975,1,0.78,LF
1975,2,0.42,LF
1975,3,0.22,LF
1975,4,0.7,LF
1975,5,0.77,LF
1975,6,0.62,LF
1975,7,0.72,LF
1975,8,0.77,LF
1975,9,1.36,LF
1975,10,0.51,LF
1976,1,0.6,LF
1976,2,0.67,LF
1976,3,0.37,LF
1976,4,0.64,LF
1976,5,0.95,LF
1976,6,0.86,LF
1976,7,0.74,LF
1976,8,0.56,LF
1976,9,1.07,LF
1976,10,0.61,LF
1977,1,0.53,LF
1977,2,0.59,LF
1977,3,0.36,LF
1977,4,0.42,LF
1977,5,0.91,LF
1977,6,0.55,LF
1977,7,0.65,LF
1977,8,0.23,LF
1977,9,1.21,LF
1977,10,0.4,LF
1978,1,0.51,LF
1978,2,0.38,LF
1978,3,0.41,LF
1978,4,0.64,LF
1978,5,0.66,LF
1978,6,0.54,LF
1978,7,0.41,LF
1978,8,0.12,LF
1978,9,1.02,LF
1978,10,0.38,LF
1979,1,0.54,LF
1979,2,0.56,LF
1979,3,0.32,LF
1979,4,0.73,LF
1979,5,0.65,LF
1979,6,0.45,LF
1979,7,0.44,LF
1979,8,0.11,LF
1979,9,0.95,LF
1979,10,0.31,LF
1980,1,0.32,LF
1980,2,0.25,LF
1980,3,0.16,LF
1980,4,1.08,LF
1980,5,0.67,LF
1980,6,0.45,LF
1980,7,0.56,LF
1980,8,0.15,LF
1980,9,0.76,LF
1980,10,0.61,LF
1981,1,0.26,LF
1981,2,0.17,LF
1981,3,0.19,LF
1981,4,0.61,LF
1981,5,0.73,LF
1981,6,0.39,LF
1981,7,0.4,LF
1981,8,0.1,LF
1981,9,0.71,LF
1981,10,0.57,LF
1982,1,0.21,LF
1982,2,0.17,LF
1982,3,0.15,LF
1982,4,0.65,LF
1982,5,0.44,LF
1982,6,0.2,LF
1982,7,0.3,LF
1982,8,0.07,LF
1982,9,0.34,LF
1982,10,0.22,LF
