year,tree_no,ring_width_mm,stand
1953,2,5.16,ML
1953,3,2.18,ML
1953,4,2.5,ML
1953,5,2.23,ML
1953,6,2.35,ML
1953,7,1.12,ML
1953,8,1.27,ML
1953,9,1.48,ML
1953,10,1.32,ML
1954,2,4,ML
1954,3,2.15,ML
1954,4,2.05,ML
1954,5,1.78,ML
1954,6,1.93,ML
1954,7,1.84,ML
1954,8,1.51,ML
1954,9,1.83,ML
1954,10,1.52,ML
1955,2,6.85,ML
1955,3,2.73,ML
1955,4,2.21,ML
1955,5,1.73,ML
1955,6,2.54,ML
1955,7,2.1,ML
1955,8,1.65,ML
1955,9,2.2,ML
1955,10,2.13,ML
1956,1,1.09,ML
1956,2,8.51,ML
1956,3,2.2,ML
1956,4,2.39,ML
1956,5,0.54,ML
1956,6,2.62,ML
1956,7,2.19,ML
1956,8,1.84,ML
1956,9,2.93,ML
1956,10,1.97,ML
1957,1,1.74,ML
1957,2,6.79,ML
1957,3,2.49,ML
1957,4,2.79,ML
1957,5,1.42,ML
1957,6,2.82,ML
1957,7,2.12,ML
1957,8,1.41,ML
1957,9,3.3,ML
1957,10,1.65,ML
1958,1,1.21,ML
1958,2,5.2,ML
1958,3,1.41,ML
1958,4,2.96,ML
1958,5,1.28,ML
1958,6,2.53,ML
1958,7,2.08,ML
1958,8,1.59,ML
1958,9,2.12,ML
1958,10,1.7,ML
1959,1,1.53,ML
1959,2,4.53,ML
1959,3,1.89,ML
1959,4,2.7,ML
1959,5,1.22,ML
1959,6,1.87,ML
1959,7,1.35,ML
1959,8,1.28,ML
1959,9,1.52,ML
1959,10,1.62,ML
1960,1,1.57,ML
1960,2,6.68,ML
1960,3,2.86,ML
1960,4,1.43,ML
1960,5,1.21,ML
1960,6,2.04,ML
1960,7,1.73,ML
1960,8,1.33,ML
1960,9,2.43,ML
1960,10,1.81,ML
1961,1,1.71,ML
1961,2,6.69,ML
1961,3,2.02,ML
1961,4,1.88,ML
1961,5,1.17,ML
1961,6,2.36,ML
1961,7,1.83,ML
1961,8,1.46,ML
1961,9,2.91,ML
1961,10,1.87,ML
1962,1,1.57,ML
1962,2,4.87,ML
1962,3,2.53,ML
1962,4,1.98,ML
1962,5,0.49,ML
1962,6,1.98,ML
1962,7,1.65,ML
1962,8,0.83,ML
1962,9,2.3,ML
1962,10,1.14,ML
1963,1,1.54,ML
1963,2,5.07,ML
1963,3,2.72,ML
1963,4,2.04,ML
1963,5,0.69,ML
1963,6,1.88,ML
1963,7,1.99,ML
1963,8,1.35,ML
1963,9,2.36,ML
1963,10,1.04,ML
1964,1,0.97,ML
1964,2,5.85,ML
1964,3,2.32,ML
1964,4,2.88,ML
1964,5,0.84,ML
1964,6,2.15,ML
1964,7,1.81,ML
1964,8,1.39,ML
1964,9,2.67,ML
1964,10,1.51,ML
1965,1,1.68,ML
1965,2,5.8,ML
1965,3,2.17,ML
1965,4,3.55,ML
1965,5,0.45,ML
1965,6,2,ML
1965,7,1.82,ML
1965,8,1.66,ML
1965,9,2.41,ML
1965,10,1.43,ML
1966,1,1.37,ML
1966,2,5.08,ML
1966,3,2.28,ML
1966,4,3.35,ML
1966,5,0.76,ML
1966,6,1.76,ML
1966,7,1.53,ML
1966,8,1.56,ML
1966,9,2.47,ML
1966,10,1.06,ML
1967,1,1.26,ML
1967,2,2.92,ML
1967,3,1.25,ML
1967,4,2.84,ML
1967,5,0.79,ML
1967,6,1.56,ML
1967,7,1.67,ML
1967,8,1.59,ML
1967,9,2.82,ML
1967,10,1.17,ML
1968,1,1.04,ML
1968,2,2.55,ML
1968,3,1.25,ML
1968,4,2.34,ML
1968,5,1.19,ML
1968,6,1.26,ML
1968,7,1.12,ML
1968,8,1.33,ML
1968,9,2.22,ML
1968,10,0.82,ML
1969,1,1.15,ML
1969,2,1.45,ML
1969,3,1.6,ML
1969,4,2,ML
1969,5,0.98,ML
1969,6,1.17,ML
1969,7,0.89,ML
1969,8,1.34,ML
1969,9,1.86,ML
1969,10,0.76,ML
1970,1,1.02,ML
1970,2,4.13,ML
1970,3,0.91,ML
1970,4,2.09,ML
1970,5,1.05,ML
1970,6,0.96,ML
1970,7,0.98,ML
1970,8,1.38,ML
1970,9,1.48,ML
1970,10,0.92,ML
1971,1,0.79,ML
1971,2,4.23,ML
1971,3,1.13,ML
1971,4,2.01,ML
1971,5,0.52,ML
