year,tree_no,ring_width_mm,stand
1953,1,0.34,SA
1953,2,0.86,SA
1953,3,0.62,SA
1953,4,0.8,SA
1953,5,0.96,SA
1953,6,0.99,SA
1953,7,0.95,SA
1954,1,0.38,SA
1954,2,0.56,SA
1954,3,0.33,SA
1954,4,0.64,SA
1954,5,1.24,SA
1954,6,1.34,SA
1954,7,0.86,SA
1955,1,0.4,SA
1955,2,0.62,SA
1955,3,0.5,SA
1955,4,0.79,SA
1955,5,1.4,SA
1955,6,0.99,SA
1955,7,1.14,SA
1956,1,0.61,SA
1956,2,0.98,SA
1956,3,0.56,SA
1956,4,0.87,SA
1956,5,1.57,SA
1956,6,1.34,SA
1956,7,0.97,SA
1957,1,0.76,SA
1957,2,0.9,SA
1957,3,0.56,SA
1957,4,0.71,SA
1957,5,1.36,SA
1957,6,1.12,SA
1957,7,0.95,SA
1958,1,0.93,SA
1958,2,1.28,SA
1958,3,0.64,SA
1958,4,0.71,SA
1958,5,1.04,SA
1958,6,1.24,SA
1958,7,1.01,SA
1959,1,0.84,SA
1959,2,0.84,SA
1959,3,0.62,SA
1959,4,0.67,SA
1959,5,0.86,SA
1959,6,1.17,SA
1959,7,0.67,SA
1960,1,0.73,SA
1960,2,1.19,SA
1960,3,0.62,SA
1960,4,0.91,SA
1960,5,1.22,SA
1960,6,1.19,SA
1960,7,0.89,SA
1961,1,0.46,SA
1961,2,1.07,SA
1961,3,0.56,SA
1961,4,1.37,SA
1961,5,0.89,SA
1961,6,0.82,SA
1961,7,0.76,SA
1962,1,0.38,SA
1962,2,0.76,SA
1962,3,0.39,SA
1962,4,0.56,SA
1962,5,0.77,SA
1962,6,1.02,SA
1962,7,0.62,SA
1963,1,0.34,SA
1963,2,1.46,SA
1963,3,0.54,SA
1963,4,0.55,SA
1963,5,0.95,SA
1963,6,1.03,SA
1963,7,0.92,SA
1964,1,0.54,SA
1964,2,1.34,SA
1964,3,0.45,SA
1964,4,0.52,SA
1964,5,1.53,SA
1964,6,1.33,SA
1964,7,0.75,SA
1965,1,0.53,SA
1965,2,1.41,SA
1965,3,0.56,SA
1965,4,0.68,SA
1965,5,1.42,SA
1965,6,1.25,SA
1965,7,1.11,SA
1966,1,0.31,SA
1966,2,1.27,SA
1966,3,0.58,SA
1966,4,0.75,SA
1966,5,1.23,SA
1966,6,1.28,SA
1966,7,0.84,SA
1967,1,0.22,SA
1967,2,1.11,SA
1967,3,0.48,SA
1967,4,0.81,SA
1967,5,1.07,SA
1967,6,1.28,SA
1967,7,0.77,SA
1968,1,0.49,SA
1968,2,1.01,SA
1968,3,0.47,SA
1968,4,0.73,SA
1968,5,1.21,SA
1968,6,1.12,SA
1968,7,0.72,SA
1969,1,0.61,SA
1969,2,0.89,SA
1969,3,0.62,SA
1969,4,0.61,SA
1969,5,1.17,SA
1969,6,0.66,SA
1969,7,0.51,SA
1970,1,0.32,SA
1970,2,0.86,SA
1970,3,0.55,SA
1970,4,0.73,SA
1970,5,1.17,SA
1970,6,0.7,SA
1970,7,0.6,SA
1971,1,0.24,SA
1971,2,0.81,SA
1971,3,0.39,SA
1971,4,0.74,SA
1971,5,1.38,SA
1971,6,0.81,SA
1971,7,0.56,SA
1972,1,0.22,SA
1972,2,0.56,SA
1972,3,0.53,SA
1972,4,0.44,SA
1972,5,0.83,SA
1972,6,0.55,SA
1972,7,0.62,SA
1973,1,0.16,SA
1973,2,0.88,SA
1973,3,0.38,SA
1973,4,0.38,SA
1973,5,0.67,SA
1973,6,0.36,SA
1973,7,0.41,SA
1974,1,0.18,SA
1974,2,0.63,SA
1974,3,0.46,SA
1974,4,0.44,SA
1974,5,0.54,SA
1974,6,0.67,SA
1974,7,0.52,SA
1975,1,0.17,SA
1975,2,0.89,SA
1975,3,0.45,SA
1975,4,0.43,SA
1975,5,0.76,SA
1975,6,0.48,SA
1975,7,0.78,SA
1976,1,0.12,SA
1976,2,1.31,SA
1976,3,0.61,SA
1976,4,0.83,SA
1976,5,1.09,SA
1976,6,1.11,SA
1976,7,0.68,SA
1977,1,0.12,SA
1977,2,1.35,SA
1977,3,0.51,SA
1977,4,0.78,SA
1977,5,0.9,SA
1977,6,0.67,SA
1977,7,1.07,SA
1978,1,0.14,SA
1978,2,0.7,SA
1978,3,0.27,SA
1978,4,0.5,SA
1978,5,0.76,SA
1978,6,0.4,SA
1978,7,0.7,SA
1979,1,0.12,SA
1979,2,0.83,SA
1979,3,0.27,SA
1979,4,0.63,SA
1979,5,0.59,SA
1979,6,0.76,SA
1979,7,0.75,SA
1980,1,0.17,SA
1980,2,1.55,SA
1980,3,0.27,SA
1980,4,0.58,SA
1980,5,0.73,SA
1980,6,0.95,SA
1980,7,0.98,SA
1981,1,0.38,SA
1981,2,1.13,SA
1981,3,0.24,SA
1981,4,0.47,SA
1981,5,0.86,SA
1981,6,0.56,SA
1981,7,0.69,SA
1982,1,0.22,SA
1982,2,0.6,SA
1982,3,0.6,SA
1982,4,0.18,SA
1982,5,0.39,SA
1982,6,0.19,SA
1982,7,0.34,SA
