year,tree_no,ring_width_mm,stand
1953,9,1.75,WY
1954,8,1.66,WY
1954,9,1.5,WY
1955,2,2.04,WY
1955,3,1.91,WY
1955,4,4.38,WY
1955,7,3.46,WY
1955,8,2.14,WY
1955,9,1.32,WY
1956,1,2.32,WY
1956,2,1.68,WY
1956,3,1.68,WY
1956,4,4.23,WY
1956,5,2.35,WY
1956,7,2.65,WY
1956,8,1.31,WY
1956,9,1.41,WY
1957,1,1.87,WY
1957,2,1.73,WY
1957,3,1.94,WY
1957,4,3.96,WY
1957,5,1.62,WY
1957,7,2.15,WY
1957,8,1.22,WY
1957,9,1.76,WY
1957,10,2.64,WY
1958,1,2.23,WY
1958,2,1.82,WY
1958,3,1.77,WY
1958,4,4.95,WY
1958,5,2.11,WY
1958,7,2.51,WY
1958,8,1.5,WY
1958,9,1.06,WY
1958,10,1.83,WY
1959,1,2.48,WY
1959,2,1.66,WY
1959,3,1.36,WY
1959,4,3.37,WY
1959,5,2.19,WY
1959,7,2.16,WY
1959,8,1.06,WY
1959,9,0.8,WY
1959,10,1.71,WY
1960,1,1.73,WY
1960,2,1.29,WY
1960,3,1.46,WY
1960,4,4.09,WY
1960,5,2.36,WY
1960,7,1.87,WY
1960,8,0.92,WY
1960,9,0.71,WY
1960,10,1.42,WY
1961,1,1.79,WY
1961,2,1.01,WY
1961,3,0.79,WY
1961,4,3.66,WY
1961,5,2.31,WY
1961,7,1.34,WY
1961,8,0.7,WY
1961,9,1.18,WY
1961,10,1.66,WY
1962,1,1.59,WY
1962,2,1.19,WY
1962,3,1.23,WY
1962,4,3.65,WY
1962,5,2.05,WY
1962,7,1.34,WY
1962,8,0.84,WY
1962,9,1.38,WY
1962,10,2.17,WY
1963,1,2.56,WY
1963,2,1.53,WY
1963,3,1.35,WY
1963,4,3.69,WY
1963,5,2.27,WY
1963,7,1.69,WY
1963,8,0.93,WY
1963,9,1.31,WY
1963,10,2.08,WY
1964,1,2.18,WY
1964,2,1.19,WY
1964,3,1.15,WY
1964,4,3.27,WY
1964,5,2.3,WY
1964,6,1.49,WY
1964,7,1.47,WY
1964,8,1.27,WY
1964,9,0.97,WY
1964,10,0.71,WY
1965,1,1.77,WY
1965,2,0.98,WY
1965,3,0.97,WY
1965,4,2.61,WY
1965,5,2.18,WY
1965,6,0.77,WY
1965,7,1.05,WY
1965,8,0.52,WY
1965,9,0.72,WY
1965,10,0.8,WY
1966,1,1.57,WY
1966,2,1.06,WY
1966,3,0.68,WY
1966,4,2.6,WY
1966,5,1.88,WY
1966,6,1.43,WY
1966,7,0.71,WY
1966,8,0.53,WY
1966,9,0.71,WY
1966,10,0.84,WY
1967,1,1.45,WY
1967,2,1.21,WY
1967,3,0.76,WY
1967,4,2.49,WY
1967,5,1.76,WY
1967,6,1.22,WY
1967,7,0.59,WY
1967,8,0.41,WY
1967,9,0.47,WY
1967,10,1.71,WY
1968,1,1.22,WY
1968,2,1.06,WY
1968,3,0.77,WY
1968,4,3.26,WY
1968,5,1.6,WY
1968,6,0.76,WY
1968,7,0.64,WY
1968,8,0.41,WY
1968,9,0.49,WY
1968,10,1.5,WY
1969,1,1.32,WY
1969,2,1.27,WY
1969,3,0.59,WY
1969,4,2.38,WY
1969,5,1.42,WY
1969,6,0.8,WY
1969,7,0.63,WY
1969,8,0.27,WY
1969,9,0.56,WY
1969,10,1.24,WY
1970,1,1.23,WY
1970,2,1.77,WY
1970,3,0.72,WY
1970,4,2.93,WY
1970,5,1.11,WY
1970,6,0.52,WY
1970,7,0.64,WY
1970,8,0.42,WY
1970,9,0.71,WY
1970,10,1.32,WY
1971,1,1.29,WY
1971,2,1.5,WY
1971,3,1.13,WY
1971,4,2.35,WY
1971,5,1.6,WY
1971,6,0.42,WY
1971,7,0.64,WY
1971,8,0.41,WY
1971,9,0.67,WY
1971,10,1.84,WY
1972,1,1.31,WY
1972,2,1.36,WY
1972,3,0.64,WY
1972,4,1.89,WY
1972,5,0.96,WY
1972,6,0.16,WY
1972,7,0.66,WY
1972,8,0.34,WY
1972,9,0.49,WY
1972,10,0.92,WY
1973,1,1.14,WY
1973,2,0.62,WY
1973,3,0.58,WY
1973,4,1.81,WY
1973,5,1,WY
1973,6,0.23,WY
1973,7,0.34,WY
1973,8,0.17,WY
1973,9,0.41,WY
1973,10,0.58,WY
1974,1,0.6,WY
1974,2,0.51,WY
1974,3,0.31,WY
1974,4,1.58,WY
1974,5,0.8,WY
1974,6,0.51,WY
1974,7,0.26,WY
1974,8,0.11,WY
1974,9,0.83,WY
1974,10,0.65,WY
1975,1,0.56,WY
1975,2,0.89,WY
1975,3,0.53,WY
1975,4,1.89,WY
1975,5,0.79,WY
1975,6,0.49,WY
1975,7,0.38,WY
1975,8,0.21,WY
1975,9,0.89,WY
1975,10,0.47,WY
1976,1,0.88,WY
1976,2,0.64,WY
1976,3,0.58,WY
1976,4,1.89,WY
1976,5,0.76,WY
1976,6,0.85,WY
1976,7,0.37,WY
1976,8,0.23,WY
1976,9,1,WY
1976,10,0.87,WY
1977,1,0.89,WY
1977,2,0.51,WY
1977,3,0.45,WY
1977,4,1.55,WY
1977,5,0.53,WY
1977,6,0.69,WY
1977,7,0.36,WY
1977,8,0.24,WY
1977,9,0.58,WY
1977,10,0.54,WY
1978,1,0.78,WY
1978,2,0.45,WY
1978,3,0.27,WY
1978,4,1.76,WY
1978,5,0.51,WY
1978,6,0.69,WY
1978,7,0.12,WY
1978,8,0.15,WY
1978,9,0.56,WY
1978,10,0.46,WY
1979,1,0.51,WY
1979,2,0.38,WY
1979,3,0.19,WY
1979,4,1.46,WY
1979,5,0.6,WY
1979,6,0.66,WY
1979,7,0.22,WY
1979,8,0.24,WY
1979,9,0.83,WY
1979,10,0.47,WY
1980,1,0.41,WY
1980,2,0.35,WY
