year,tree_no,ring_width_mm,stand
1933,1,1.91,2
1933,2,1.29,2
1933,3,2.98,2
1933,4,3.65,2
1933,5,2.77,2
1933,6,1.93,2
1933,7,2.12,2
1933,8,1.92,2
1933,9,3.08,2
1933,10,2.98,2
1934,1,1.72,2
1934,2,2.9,2
1934,3,6.16,2
1934,4,4.74,2
1934,5,4.31,2
1934,6,1.99,2
1934,7,2.95,2
1934,8,5.72,2
1934,9,3.04,2
1934,10,4.36,2
1935,1,2.49,2
1935,2,3.28,2
1935,3,5.39,2
1935,4,4.13,2
1935,5,4.48,2
1935,6,2.27,2
1935,7,3.33,2
1935,8,4.4,2
1935,9,3.18,2
1935,10,4.35,2
1936,1,2,2
1936,2,2.57,2
1936,3,4.75,2
1936,4,5.52,2
1936,5,5.4,2
1936,6,2,2
1936,7,2.37,2
1936,8,3.35,2
1936,9,3.13,2
1936,10,4.05,2
1937,1,1.51,2
1937,2,2.47,2
1937,3,4.09,2
1937,4,4.57,2
1937,5,4.22,2
1937,6,1.37,2
1937,7,2.06,2
1937,8,3.2,2
1937,9,2.73,2
1937,10,3.31,2
1938,1,1.23,2
1938,2,1.97,2
1938,3,4.02,2
1938,4,3.2,2
1938,5,3.47,2
1938,6,1.03,2
1938,7,1.21,2
1938,8,2.18,2
1938,9,2.19,2
1938,10,2.53,2
1939,1,0.83,2
1939,2,1.4,2
1939,3,3.49,2
1939,4,3.33,2
1939,5,3.12,2
1939,6,1.11,2
1939,7,1.33,2
1939,8,2.09,2
1939,9,2.07,2
1939,10,3.49,2
1940,1,0.49,2
1940,2,1.85,2
1940,3,2.42,2
1940,4,3.37,2
1940,5,2.27,2
1940,6,1.23,2
1940,7,1.49,2
1940,8,1.84,2
1940,9,2.15,2
1940,10,2.99,2
1941,1,0.86,2
1941,2,1.42,2
1941,3,2.25,2
1941,4,2.65,2
1941,5,2.74,2
1941,6,1.97,2
1941,7,1.32,2
1941,8,1.86,2
1941,9,2.38,2
1941,10,3.07,2
1942,1,0.87,2
1942,2,1.44,2
1942,3,1.73,2
1942,4,2.95,2
1942,5,1.93,2
1942,6,0.89,2
1942,7,1.12,2
1942,8,1.97,2
1942,9,1.66,2
1942,10,2.4,2
1943,1,1.29,2
1943,2,1.99,2
1943,3,1.88,2
1943,4,2.51,2
1943,5,1.8,2
1943,6,0.82,2
1943,7,1.22,2
1943,8,2.29,2
1943,9,1.46,2
1943,10,2.57,2
1944,1,3.26,2
1944,2,1.17,2
1944,3,3.47,2
1944,4,2.48,2
1944,5,3.79,2
1944,6,1.54,2
1944,7,1.47,2
1944,8,3.81,2
1944,9,2.12,2
1944,10,3.9,2
1945,1,3.03,2
1945,2,1.1,2
1945,3,3.48,2
1945,4,2.62,2
1945,5,4.08,2
1945,6,1.51,2
1945,7,2.45,2
1945,8,2.84,2
1945,9,2.79,2
1945,10,3.69,2
1946,1,3.8,2
1946,2,1.28,2
1946,3,3.77,2
1946,4,2.99,2
1946,5,4.11,2
1946,6,1.47,2
1946,7,2.69,2
1946,8,2.52,2
1946,9,3.06,2
1946,10,3.71,2
1947,1,3,2
1947,2,2.48,2
1947,3,3.5,2
1947,4,3.14,2
1947,5,3.66,2
1947,6,1.66,2
1947,7,2.98,2
1947,8,2.75,2
1947,9,2.8,2
1947,10,3.54,2
1948,1,1.12,2
1948,2,1.62,2
1948,3,2.08,2
1948,4,2.03,2
1948,5,2.03,2
1948,6,1.14,2
1948,7,2.39,2
1948,8,1.62,2
1948,9,1.86,2
1948,10,2.85,2
1949,1,1.2,2
1949,2,2.42,2
