band_number,year,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,clutch_size,clutch_number,no_of_young_fledged,number_hatch,location
1671.49929,2010,M,BLU,116,117,55,89,20,2015-06-01,PT16I,6,1,6,6,PT
1671.51227,2010,F,BLU,120,121,47,92,22.5,2015-06-01,PT16I,6,1,6,6,PT
1671.51366,2010,F,BLU,118,119,53,93,23.8,2017-06-01,PT19F,5,1,4,4,PT
1771.40297,2010,F,BLU,120,121,52,95,19.7,2017-06-01,PT09F,6,1,4,4,PT
1771.41084,2010,F,BLU,116,118,54,91,19.5,2010-06-06,SL76,4,1,4,4,SL
1771.41084,2011,F,BLU,115,117,55,95,20.4,2011-06-05,SL76,3,1,1,2,SL
1771.41146,2011,F,BLU,114,116,58,88,20.5,2011-06-13,SL01,6,1,4,6,SL
1771.41146,2012,F,BLU,109,111,60,88,21.8,2012-06-10,SL63,6,1,6,6,SL
1771.412,2010,F,BLU,112,114,46,92,21.79,2010-06-10,MC33,4,1,4,4,MC
1771.41229,2011,F,BLU,115,119,56,91,21,2011-06-12,MC26,5,1,5,5,MC
1771.42069,2010,F,BLU,112,113,59,89,21.1,2010-06-10,MC66,6,1,4,5,MC
1771.42178,2011,F,BLU,114,117,55,88,19.8,2011-06-17,PT15J,6,1,4,4,PT
1771.42178,2012,F,BLU,117,120,57,98,22.77,2012-06-02,PT07F,6,1,6,6,PT
1771.42257,2010,M,BLU,119,122,57,96,20.5,2010-06-07,SL26,5,1,5,5,SL
1771.42264,2011,F,BLU,113,114,51,89,20.3,2011-06-09,SL06,6,1,6,6,SL
1771.42382,2010,F,BLU,114,115,56,90,21.6,2010-06-11,SL06,6,1,6,6,SL
1771.42387,2012,F,BLU,115,118,55,91,19.1,2012-06-09,SL22,6,1,5,6,SL
1771.42388,2010,F,BLU,110,112,51,89,18,2010-06-11,SL60,6,1,3,3,SL
1771.42388,2011,F,BLU,109,111,54,89,17.3,2011-06-15,SL59,8,1,0,7,SL
1771.43059,2010,M,BLU,124,125,47,99,21,2015-06-01,PT12H,6,1,4,4,PT
1771.43085,2010,F,BLU,100,101,56,85,21.5,2018-06-01,PT19E,5,1,5,5,PT
1771.43207,2010,M,BLU,112,114,53,88,22,2017-06-01,PT09F,6,1,4,4,PT
1771.43207,2012,M,BLU,113,116,52,89,21.34,2012-06-04,PT09F,7,1,6,6,PT
1771.43242,2010,M,BLU,118,119,57,95,18,2017-06-01,PT07F,6,1,4,4,PT
1771.4326,2010,F,BLU,115,119,56,93,21.5,2020-06-01,PT12G,4,1,3,3,PT
1771.43291,2011,M,BLU,113,116,56,91,19.9,2011-06-13,MC58,6,1,6,6,MC
1771.43292,2011,F,INT,111,117,57,89,19.47,2011-06-05,MC27,3,1,1,2,MC
1771.43292,2012,F,BLU,114,116,53,90,19.4,2012-06-08,MC27,4,1,1,2,MC
1771.43309,2011,F,BLU,115,117,56,88,22.2,2011-06-11,SL20,5,1,3,3,SL
1771.43399,2011,M,BLU,117,119.5,56,96,20.4,2011-06-14,MC23,5,1,5,4,MC
