year,nest_box,clutch_number,location,nest_code,clutch_size
1987,MC02,2,MC,MC1987M02,3
1987,MC03,1,MC,MC1987M03,5
1987,MC04,1,MC,MC1987M04,4
1987,MC07,1,MC,MC1987M07,5
1987,MC08,1,MC,MC1987M08,6
1987,MC10,1,MC,MC1987M10,5
1987,MC11,1,MC,MC1987M11,4
1987,MC12,1,MC,MC1987M12,5
1987,MC13,1,MC,MC1987M13,6
1987,MC14,1,MC,MC1987M14,5
1987,MC15,2,MC,MC1987M15,3
1987,MC16,1,MC,MC1987M16,2
1987,MC17,1,MC,MC1987M17,4
1987,MC18,1,MC,MC1987M18,4
1987,MC19,1,MC,MC1987M19,3
1987,MC21,1,MC,MC1987M21,6
1987,MC22,1,MC,MC1987M22,6
1987,MC23,1,MC,MC1987M23,4
1987,MC24,2,MC,MC1987M24,4
1987,MC25,1,MC,MC1987M25,5
1987,MC26,1,MC,MC1987M26,3
1987,MC27,2,MC,MC1987M27,5
1987,MC28,2,MC,MC1987M28,5
1987,MC29,1,MC,MC1987M29,5
1987,MC30,1,MC,MC1987M30,5
1987,MC31,1,MC,MC1987M31,6
1987,MC33,2,MC,MC1987M33,4
1987,MC34,1,MC,MC1987M34,4
1987,MC35,1,MC,MC1987M35,3
1987,MC36,1,MC,MC1987M36,4
1987,MC38,1,MC,MC1987M38,5
1987,MC39,1,MC,MC1987M39,6
1987,MC40,1,MC,MC1987M40,4
1987,MC41,1,MC,MC1987M41,3
1987,MC42,1,MC,MC1987M42,4
1987,MC45,1,MC,MC1987M45,6
1987,MC47,1,MC,MC1987M47,4
1988,MC01,1,MC,MC1988M01,6
1988,MC04,1,MC,MC1988M04,6
1988,MC06,1,MC,MC1988M06,4
1988,MC07,1,MC,MC1988M07,7
1988,MC08,1,MC,MC1988M08,6
1988,MC10,1,MC,MC1988M10,5
1988,MC11,1,MC,MC1988M11,5
1988,MC13,1,MC,MC1988M13,5
1988,MC14,1,MC,MC1988M14,5
1988,MC15,1,MC,MC1988M15,5
1988,MC16,1,MC,MC1988M16,4
1988,MC17,1,MC,MC1988M17,6
1988,MC18,1,MC,MC1988M18,3
1988,MC19,1,MC,MC1988M19,5
1988,MC20,1,MC,MC1988M20,6
1988,MC21,1,MC,MC1988M21,6
1988,MC22,1,MC,MC1988M22,5
1988,MC23,1,MC,MC1988M23,5
1988,MC24,1,MC,MC1988M24,5
1988,MC25,1,MC,MC1988M25,7
1988,MC26,1,MC,MC1988M26,6
1988,MC27,1,MC,MC1988M27,6
1988,MC28,1,MC,MC1988M28,5
1988,MC29,1,MC,MC1988M29,5
1988,MC30,1,MC,MC1988M30,5
1988,MC32,1,MC,MC1988M32,5
1988,MC33,1,MC,MC1988M33,6
1988,MC34,1,MC,MC1988M34,6
1988,MC35,1,MC,MC1988M35,4
1988,MC36,1,MC,MC1988M36,5
1988,MC37,1,MC,MC1988M37,3
1988,MC38,1,MC,MC1988M38,4
1988,MC39,1,MC,MC1988M39,5
1988,MC40,1,MC,MC1988M40,5
1988,MC41,1,MC,MC1988M41,6
1988,MC43,1,MC,MC1988M43,4
1988,MC44,1,MC,MC1988M44,5
1988,MC45,1,MC,MC1988M45,4
1988,MC47,1,MC,MC1988M47,5
1988,MC48,2,MC,MC1988M48,5
1989,MC01,1,MC,MC1989M01,5
1989,MC02,1,MC,MC1989M02,6
1989,MC03,1,MC,MC1989M03,5
1989,MC04,1,MC,MC1989M04,5
1989,MC05,1,MC,MC1989M05,6
1989,MC06,1,MC,MC1989M06,6
1989,MC07,1,MC,MC1989M07,6
1989,MC08,1,MC,MC1989M08,5
1989,MC09,1,MC,MC1989M09,5
1989,MC10,1,MC,MC1989M10,5
1989,MC11,1,MC,MC1989M11,5
1989,MC12,2,MC,MC1989M12,5
1989,MC13,1,MC,MC1989M13,6
1989,MC15,1,MC,MC1989M15,3
1989,MC16,1,MC,MC1989M16,5
1989,MC17,1,MC,MC1989M17,4
1989,MC18,1,MC,MC1989M18,2
1989,MC19,1,MC,MC1989M19,5
1989,MC20,2,MC,MC1989M20,2
1989,MC21,1,MC,MC1989M21,5
1989,MC22,1,MC,MC1989M22,4
1989,MC23,1,MC,MC1989M23,3
1989,MC24,1,MC,MC1989M24,6
1989,MC25,1,MC,MC1989M25,6
1989,MC26,1,MC,MC1989M26,5
1989,MC27,1,MC,MC1989M27,4
1989,MC28,1,MC,MC1989M28,5
1989,MC29,1,MC,MC1989M29,5
1989,MC30,1,MC,MC1989M30,4
1989,MC31B,1,MC,MC1989M31B,5
1989,MC32,1,MC,MC1989M32,6
1989,MC34,1,MC,MC1989M34,4
1989,MC35,1,MC,MC1989M35,5
1989,MC36,1,MC,MC1989M36,5
1989,MC37,1,MC,MC1989M37,5
1989,MC38,1,MC,MC1989M38,5
1989,MC39,1,MC,MC1989M39,6
1989,MC40,1,MC,MC1989M40,5
1989,MC41,1,MC,MC1989M41,4
1989,MC42,1,MC,MC1989M42,6
1989,MC43,1,MC,MC1989M43,4
1989,MC44,1,MC,MC1989M44,6
1989,MC45,1,MC,MC1989M45,6
1989,MC46,1,MC,MC1989M46,6
1989,MC47,1,MC,MC1989M47,6
1989,MC48,1,MC,MC1989M48,5
1990,MC01,1,MC,MC1990M01,5
1990,MC02,1,MC,MC1990M02,4
1990,MC03,2,MC,MC1990M03,4
1990,MC04,1,MC,MC1990M04,4
1990,MC05,1,MC,MC1990M05,6
1990,MC07,1,MC,MC1990M07,4
1990,MC08,1,MC,MC1990M08,5
1990,MC09,1,MC,MC1990M09,4
1990,MC10,1,MC,MC1990M10,5
