band_or_recapture,band_number,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,age_code,year
R,1831.38581,F,BLU,116,119,58,89,22,2010-06-01,PT4G,ASY,2010
R,1881.0652,F,BLU,115,119,54,90,19.6,2010-06-01,PT2F,ASY,2010
R,2171.2001,F,BLU,112,114,55,88,21.5,2010-06-01,PT15G,ASY,2010
R,1881.06441,M,BLU,123,124,60,96,21.1,2010-06-01,PT4G,AHY,2010
B,2351.39701,M,BLU,118,119,58,92,22.1,2010-06-01,PT15G,AHY,2010
R,1881.04234,M,BLU,123,125,56,97,20.5,2010-06-01,PT2F,AHY,2010
B,2351.39702,F,BLU,110,112,55,89,20,2012-06-01,PT1J,ASY,2010
R,2321.08252,F,BLU,111,113,52,87,21.6,2012-06-01,PT4J,ASY,2010
B,2351.39702,F,INT,112,114,55,90,19.8,2012-06-01,PT8K,AHY,2010
B,2351.39704,M,BLU,117,118,54,92,20.5,2012-06-01,PT1J,AHY,2010
R,2311.93646,M,BLU,122,123,58,95,22.5,2012-06-01,PT4J,AHY,2010
R,1771.43727,F,BLU,111,114,53,87,20.2,2012-06-01,PT11I,ASY,2010
R,2311.93613,F,BRO,115,117,54,91,20.2,2012-06-01,PT10G,AHY,2010
R,1831.3848,F,BLU,113,115,54,89,19.8,2012-06-01,PT4F,ASY,2010
R,1831.38564,F,BLU,110,113,52,88,20,2012-06-01,PT16H,ASY,2010
R,1881.06489,M,BLU,124,126,61,96,21,2012-06-01,PT4F,AHY,2010
R,2171.20014,M,BLU,118,120,55,93,20.3,2012-06-01,PT16H,AHY,2010
R,2171.20038,M,BLU,119,121,55,94,21.2,2012-06-01,PT10G,AHY,2010
R,2311.93292,F,INT,116,119,57,93,20.4,2012-06-01,PT13G,AHY,2010
R,2311.9366,F,BLU,116,117,53,90,21.3,2012-06-01,PT13H,ASY,2010
R,2311.9362,M,BLU,117,118,54,91,20,2012-06-01,PT13G,AHY,2010
R,2171.20052,F,BLU,115,116,52,88,18.5,2013-06-01,PT3J,AHY,2010
R,2171.2006,F,BLU,114,116,46,86,20.5,2013-06-01,PT9J,AHY,2010
R,2351.39705,F,BLU,117,118,44,93,21.5,2013-06-01,PT5J,AHY,2010
R,1881.06449,F,BLU,118,119,46,90,23,2013-06-01,PT6J,AHY,2010
R,1831.38421,F,BLU,121,122,52,93,21.25,2013-06-01,PT11K,AHY,2010
R,1881.06429,M,BLU,125,126,48,95,22.75,2013-06-01,PT11K,AHY,2010
R,1831.39074,M,BLU,124,125,48,98,21.75,2013-06-01,PT6J,AHY,2010
R,2311.9366,F,BLU,115,118,53,89,20.5,2015-06-01,PT13H,ASY,2010
R,1831.3852,F,BLU,114,115,53,90,23.5,2015-06-01,PT12H,ASY,2010
R,2351.37003,M,BLU,120,121,55,91,20,2015-06-01,PT15H,AHY,2010
B,2351.39707,F,BLU,111,112,54,88,18.5,2015-06-01,PT10I,ASY,2010
R,2351.37014,F,BLU,111,113,55,89,20,2015-06-01,PT12J,ASY,2010
R,2171.20075,F,BLU,116,118,55,93,19.4,2015-06-01,PT13J,ASY,2010
B,2351.39709,F,BLU,118,120,55,93,22,2015-06-01,PT11H,AHY,2010
R,2171.20058,M,BLU,115,116,54,95,19.8,2015-06-01,PT13H,AHY,2010
B,2351.3971,M,BLU,120,121,55,94,21.25,2015-06-01,PT16J,AHY,2010
R,1671.49929,M,BLU,116,117,55,89,20,2015-06-01,PT16I,AHY,2010
R,2181.78261,M,BLU,129,130,45,98,22,2015-06-01,PT13J,AHY,2010
R,2351.37106,M,BLU,123,124,50,96,20.5,2015-06-01,PT10I,AHY,2010
R,1881.06321,F,BLU,116,117,44,95,19.75,2015-06-01,PT16J,ASY,2010
R,1881.06238,M,BLU,129,130,51,102,22.5,2015-06-01,PT12J,AHY,2010
R,2171.20068,F,BLU,117,117,46,91,18.75,2015-06-01,PT14J,ASY,2010
R,1671.51227,F,BLU,120,121,47,92,22.5,2015-06-01,PT16I,ASY,2010
R,1771.43059,M,BLU,124,125,47,99,21,2015-06-01,PT12H,AHY,2010
R,2351.37008,F,BLU,116,118,58,91,21,2017-06-01,PT9G,ASY,2010
B,2351.39712,M,BLU,119,120,56,97,23.2,2017-06-01,PT7G,AHY,2010
R,2311.93761,M,BLU,116,118,56,89,20.5,2017-06-01,PT1I,AHY,2010
R,2351.37015,F,BLU,118,120,58,95,19.5,2017-06-01,PT9K,ASY,2010
R,2171.20065,F,BLU,112,112,55,86,19.75,2017-06-01,PT7G,ASY,2010
R,2351.37011,F,BLU,114,116,53,89,18.75,2017-06-01,PT7K,ASY,2010
B,2351.39713,M,BLU,121,122,58,97,21,2017-06-01,PT9J,AHY,2010
R,1771.43242,M,BLU,118,119,57,95,18,2017-06-01,PT7F,AHY,2010
R,1881.06307,F,BLU,112,115,56,89,20.75,2017-06-01,PT7F,ASY,2010
R,2351.37007,M,BLU,119,120,56,92,21,2017-06-01,PT9G,AHY,2010
R,2171.20008,M,BLU,121,123,57,95,21.5,2017-06-01,PT8K,AHY,2010
R,1771.43207,M,BLU,112,114,53,88,22,2017-06-01,PT9F,AHY,2010
B,2351.39714,M,BLU,117,120,60,93,20,2017-06-01,PT9K,AHY,2010
B,2351.39715,F,BLU,110,112,54,86,22.5,2017-06-01,PT14H,ASY,2010
R,1771.40297,F,BLU,120,121,52,95,19.7,2017-06-01,PT9F,ASY,2010
R,2171.20008,M,BLU,124,125,56,97,20.8,2017-06-01,PT7K,AHY,2010
R,2171.20004,M,BLU,120,121,55,94,18.9,2017-06-01,PT3J,AHY,2010
R,1831.38403,M,BLU,125,127,58,98,21,2017-06-01,PT14H,AHY,2010
R,2171.20051,M,BLU,120,121,55,95,20.3,2017-06-01,PT14J,AHY,2010
R,2351.37019,M,BLU,119,120,56,93,21,2017-06-01,PT11H,AHY,2010
R,1831.38462,F,BLU,113,115,53,88,20.4,2017-06-01,PT17G,ASY,2010
