nest_box,band_number,year,clutch_number,day_1_weight,day_12_weight,site,nest_code
PT7F,2351.39972,2014,NA,NA,NA,NA,NA
PT7F,2351.39973,2014,NA,NA,NA,NA,NA
PT7F,2351.39974,2014,NA,NA,NA,NA,NA
PT14G,2351.39975,2014,NA,NA,NA,NA,NA
PT14G,2351.39976,2014,NA,NA,NA,NA,NA
PT14G,2351.39977,2014,NA,NA,NA,NA,NA
PT15G,2351.39978,2014,NA,NA,NA,NA,NA
PT15F,2351.39979,2014,NA,NA,NA,NA,NA
PT15F,2351.39980,2014,NA,NA,NA,NA,NA
PT15F,2351.39981,2014,NA,NA,NA,NA,NA
PT15F,2351.39982,2014,NA,NA,NA,NA,NA
PT15F,2351.39983,2014,NA,NA,NA,NA,NA
PT15F,2351.39984,2014,NA,NA,NA,NA,NA
PT16F,2351.39985,2014,NA,NA,NA,NA,NA
PT16F,2351.39986,2014,NA,NA,NA,NA,NA
PT16F,2351.39987,2014,NA,NA,NA,NA,NA
PT14J,2351.39988,2014,NA,NA,NA,NA,NA
PT14J,2351.39989,2014,NA,NA,NA,NA,NA
PT11J,2351.39990,2014,NA,NA,NA,NA,NA
PT11J,2351.39991,2014,NA,NA,NA,NA,NA
PT12J,2351.39992,2014,NA,NA,NA,NA,NA
PT12J,2351.39993,2014,NA,NA,NA,NA,NA
PT12J,2351.39994,2014,NA,NA,NA,NA,NA
PT12J,2351.39995,2014,NA,NA,NA,NA,NA
PT12J,2351.39996,2014,NA,NA,NA,NA,NA
PT12J,2351.39997,2014,NA,NA,NA,NA,NA
PT12J,2351.39998,2014,NA,NA,NA,NA,NA
PT15J,2351.39999,2014,NA,NA,NA,NA,NA
PT15J,2351.40000,2014,NA,NA,NA,NA,NA
SL52,2521.79201,2014,NA,NA,NA,NA,NA
SL52,2521.79202,2014,NA,NA,NA,NA,NA
SL35,2521.79203,2014,NA,NA,NA,NA,NA
SL35,2521.79204,2014,NA,NA,NA,NA,NA
SL35,2521.79205,2014,NA,NA,NA,NA,NA
SL35,2521.79206,2014,NA,NA,NA,NA,NA
SL35,2521.79207,2014,NA,NA,NA,NA,NA
SL76,2521.79208,2014,NA,NA,NA,NA,NA
SL76,2521.79209,2014,NA,NA,NA,NA,NA
SL76,2521.79210,2014,NA,NA,NA,NA,NA
SL76,2521.79211,2014,NA,NA,NA,NA,NA
SL28,2521.79212,2014,NA,NA,NA,NA,NA
SL28,2521.79213,2014,NA,NA,NA,NA,NA
SL28,2521.79214,2014,NA,NA,NA,NA,NA
SL28,2521.79215,2014,NA,NA,NA,NA,NA
SL29,2521.79216,2014,NA,NA,NA,NA,NA
SL29,2521.79217,2014,NA,NA,NA,NA,NA
SL29,2521.79218,2014,NA,NA,NA,NA,NA
SL29,2521.79219,2014,NA,NA,NA,NA,NA
SL29,2521.79220,2014,NA,NA,NA,NA,NA
SL41,2521.79221,2014,NA,NA,NA,NA,NA
SL41,2521.79222,2014,NA,NA,NA,NA,NA
SL41,2521.79223,2014,NA,NA,NA,NA,NA
SL41,2521.79224,2014,NA,NA,NA,NA,NA
SL41,2521.79225,2014,NA,NA,NA,NA,NA
SL39,2521.79226,2014,NA,NA,NA,NA,NA
SL39,2521.79227,2014,NA,NA,NA,NA,NA
SL39,2521.79228,2014,NA,NA,NA,NA,NA
SL67,2521.79229,2014,NA,NA,NA,NA,NA
SL67,2521.79230,2014,NA,NA,NA,NA,NA
SL67,2521.79231,2014,NA,NA,NA,NA,NA
SL67,2521.79232,2014,NA,NA,NA,NA,NA
SL67,2521.79233,2014,NA,NA,NA,NA,NA
SL67,2521.79234,2014,NA,NA,NA,NA,NA
SL68,2521.79235,2014,NA,NA,NA,NA,NA
SL68,2521.79236,2014,NA,NA,NA,NA,NA
SL68,2521.79237,2014,NA,NA,NA,NA,NA
SL69,2521.79238,2014,NA,NA,NA,NA,NA
SL69,2521.79239,2014,NA,NA,NA,NA,NA
SL69,2521.79240,2014,NA,NA,NA,NA,NA
SL69,2521.79241,2014,NA,NA,NA,NA,NA
SL69,2521.79242,2014,NA,NA,NA,NA,NA
SL7,2521.79243,2014,NA,NA,NA,NA,NA
SL7,2521.79244,2014,NA,NA,NA,NA,NA
SL64,2521.79245,2014,NA,NA,NA,NA,NA
SL64,2521.79246,2014,NA,NA,NA,NA,NA
SL64,2521.79247,2014,NA,NA,NA,NA,NA
SL64,2521.79248,2014,NA,NA,NA,NA,NA
SL64,2521.79249,2014,NA,NA,NA,NA,NA
SL64,2521.79250,2014,NA,NA,NA,NA,NA
SL62,2521.79251,2014,NA,NA,NA,NA,NA
SL62,2521.79252,2014,NA,NA,NA,NA,NA
SL62,2521.79253,2014,NA,NA,NA,NA,NA
SL62,2521.79254,2014,NA,NA,NA,NA,NA
SL62,2521.79255,2014,NA,NA,NA,NA,NA
SL62,2521.79256,2014,NA,NA,NA,NA,NA
SL34,2521.79257,2014,NA,NA,NA,NA,NA
SL34,2521.79258,2014,NA,NA,NA,NA,NA
SL34,2521.79259,2014,NA,NA,NA,NA,NA
SL34,2521.79260,2014,NA,NA,NA,NA,NA
SL34,2521.79261,2014,NA,NA,NA,NA,NA
SL38,2521.79262,2014,NA,NA,NA,NA,NA
SL38,2521.79263,2014,NA,NA,NA,NA,NA
SL38,2521.79264,2014,NA,NA,NA,NA,NA
SL38,2521.79265,2014,NA,NA,NA,NA,NA
SL38,2521.79266,2014,NA,NA,NA,NA,NA
SL38,2521.79267,2014,NA,NA,NA,NA,NA
SL26,2521.79268,2014,NA,NA,NA,NA,NA
SL77,2521.79269,2014,NA,NA,NA,NA,NA
SL77,2521.79270,2014,NA,NA,NA,NA,NA
SL77,2521.79271,2014,NA,NA,NA,NA,NA
SL77,2521.79272,2014,NA,NA,NA,NA,NA
SL57,2521.79273,2014,NA,NA,NA,NA,NA
SL57,2521.79274,2014,NA,NA,NA,NA,NA
SL57,2521.79275,2014,NA,NA,NA,NA,NA
SL31,2521.79276,2014,NA,NA,NA,NA,NA
SL31,2521.79277,2014,NA,NA,NA,NA,NA
SL31,2521.79278,2014,NA,NA,NA,NA,NA
SL31,2521.79279,2014,NA,NA,NA,NA,NA
